,Random Forest,XGBoost,LightGBM,CatBoost,Mean
applicant_income,0.1679166840766653,0.041127697,727,11.701446787554316,184.7276227920661
loan_amount,0.1773384401671079,0.045957737,711,14.827980620965851,181.51281919945097
total_income,0.1686429926769453,0.04560689,700,9.888301980191565,177.5256379654248
coapplicant_income,0.1005895180302915,0.0603744,312,9.920497659972783,80.52036539487821
dependents,0.048540128772284225,0.05904309,141,7.672235608524442,37.19495470702181
credit_history,0.12023997433383575,0.37536624,100,20.672830389220128,30.292109151073447
married,0.027419566449110238,0.05593619,83,2.6120660669463627,21.423855456156623
property_area_Semiurban,0.026234459672470862,0.048887808,69,3.06365913569557,18.034695350810978
loan_amount_term,0.02930365756599785,0.031811435,64,2.900104031398531,16.74030478093503
property_area_Urban,0.02454412923039359,0.0421547,57,6.816775047171872,15.970868468991561
is_standard_term,0.025197548328517273,0.03586389,60,2.4385558882084752,15.624904331945233
gender,0.01993447855846775,0.047118362,56,1.49812556664415,14.391294601810486
self_employed,0.02205971298991091,0.07208813,52,2.0408787627136085,13.53375665138049
education,0.02342248165852821,0.033827096,49,2.9932494632715394,13.012624760288475
has_coapplicant,0.01861622748947335,0.004836158,17,0.953292991520794,4.494186344226473
